"Factor","Clinical_Variable","Correlation","p_value"
"Factor1","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.095,"0.0495"
"Factor1","Gender_nature2012",-0.037,"0.348"
"Factor1","ER_Status_nature2012",-0.161,"4.63e-05"
"Factor1","PAM50Call_RNAseq",-0.209,"1.12e-07"
"Factor2","Age_at_Initial_Pathologic_Diagnosis_nature2012",0.039,"0.422"
"Factor2","Gender_nature2012",0.039,"0.327"
"Factor2","ER_Status_nature2012",0.191,"1.21e-06"
"Factor2","PAM50Call_RNAseq",0.355,"2.3e-20"
"Factor3","Age_at_Initial_Pathologic_Diagnosis_nature2012",0.021,"0.665"
"Factor3","Gender_nature2012",-0.01,"0.796"
"Factor3","ER_Status_nature2012",0.004,"0.914"
"Factor3","PAM50Call_RNAseq",0.013,"0.748"
"Factor4","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.219,"4.7e-06"
"Factor4","Gender_nature2012",0.162,"4.24e-05"
"Factor4","ER_Status_nature2012",0.13,"0.00104"
"Factor4","PAM50Call_RNAseq",0.084,"0.0342"
"Factor5","Age_at_Initial_Pathologic_Diagnosis_nature2012",0.057,"0.24"
"Factor5","Gender_nature2012",-0.045,"0.26"
"Factor5","ER_Status_nature2012",-0.026,"0.517"
"Factor5","PAM50Call_RNAseq",0.047,"0.241"
"Factor6","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.029,"0.548"
"Factor6","Gender_nature2012",0.49,"9.62e-40"
"Factor6","ER_Status_nature2012",0.415,"7.55e-28"
"Factor6","PAM50Call_RNAseq",0.461,"9.02e-35"
"Factor7","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.09,"0.0639"
"Factor7","Gender_nature2012",-0.19,"1.4e-06"
"Factor7","ER_Status_nature2012",-0.161,"4.63e-05"
"Factor7","PAM50Call_RNAseq",-0.17,"1.65e-05"
"Factor8","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.117,"0.0158"
"Factor8","Gender_nature2012",0.046,"0.251"
"Factor8","ER_Status_nature2012",0.018,"0.659"
"Factor8","PAM50Call_RNAseq",0.103,"0.00904"
"Factor9","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.147,"0.00231"
"Factor9","Gender_nature2012",-0.228,"5.96e-09"
"Factor9","ER_Status_nature2012",-0.127,"0.00134"
"Factor9","PAM50Call_RNAseq",-0.179,"5.6e-06"
"Factor10","Age_at_Initial_Pathologic_Diagnosis_nature2012",0.039,"0.418"
"Factor10","Gender_nature2012",0.629,"2.58e-71"
"Factor10","ER_Status_nature2012",0.51,"2.57e-43"
"Factor10","PAM50Call_RNAseq",0.539,"2.92e-49"
"Factor11","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.019,"0.692"
"Factor11","Gender_nature2012",0.251,"1.37e-10"
"Factor11","ER_Status_nature2012",0.208,"1.26e-07"
"Factor11","PAM50Call_RNAseq",0.232,"3.1e-09"
"Factor12","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.013,"0.795"
"Factor12","Gender_nature2012",-0.17,"1.63e-05"
"Factor12","ER_Status_nature2012",-0.219,"2.44e-08"
"Factor12","PAM50Call_RNAseq",-0.128,"0.00121"
"Factor13","Age_at_Initial_Pathologic_Diagnosis_nature2012",0.043,"0.379"
"Factor13","Gender_nature2012",0.007,"0.858"
"Factor13","ER_Status_nature2012",-0.013,"0.747"
"Factor13","PAM50Call_RNAseq",0.094,"0.0175"
"Factor14","Age_at_Initial_Pathologic_Diagnosis_nature2012",-0.026,"0.599"
"Factor14","Gender_nature2012",-0.156,"7.84e-05"
"Factor14","ER_Status_nature2012",-0.07,"0.0777"
"Factor14","PAM50Call_RNAseq",-0.139,"0.00044"
"Factor15","Age_at_Initial_Pathologic_Diagnosis_nature2012",0.007,"0.884"
"Factor15","Gender_nature2012",0.083,"0.0361"
"Factor15","ER_Status_nature2012",0.161,"4.44e-05"
"Factor15","PAM50Call_RNAseq",-0.034,"0.393"
