"Factor","RNA","Methyl","RPPA","Variance_Total","Variance_Pct"
"Factor1",9.906,10.683,5.122,25.711,23.8
"Factor2",8.895,4.298,8.264,21.457,19.9
"Factor3",0.134,11.202,0.144,11.48,10.6
"Factor4",0.179,8.159,0.366,8.704,8.1
"Factor5",3.226,3.917,0.819,7.962,7.4
"Factor6",6.623,0.004,0.067,6.694,6.2
"Factor7",2.715,0.887,1.494,5.095,4.7
"Factor8",1.696,1.996,0.72,4.412,4.1
"Factor9",2.563,0.751,0.436,3.749,3.5
"Factor10",2.854,0.146,0.351,3.351,3.1
"Factor11",0.048,2.193,0.216,2.457,2.3
"Factor12",0.061,1.692,0.132,1.884,1.7
"Factor13",0.002,1.117,0.693,1.812,1.7
"Factor14",0.071,1.591,0.018,1.681,1.6
"Factor15",0.059,1.365,0.22,1.644,1.5
