"Factor","HR","p_value","CI_lower","CI_upper","p_adj"
"Factor1",1.23981792852207,0.130799639175711,0.938117008290423,1.63854666560834,0.280284941090808
"Factor2",1.00270193178684,0.985205133773035,0.753899796075488,1.33361378958163,0.998822467506259
"Factor3",0.971743860944428,0.861629638708451,0.704003379445038,1.3413090886404,0.998822467506259
"Factor4",1.02171674941858,0.859623055643042,0.805241584079982,1.29638749001663,0.998822467506259
"Factor5",0.632985796931889,0.00432466785616263,0.462356150497074,0.866585247512642,0.0648700178424394
"Factor6",1.20497520805385,0.302370108993733,0.845454960620515,1.71737741175326,0.522092726379605
"Factor7",0.918490074249168,0.59401922127737,0.671886705918057,1.25560456705499,0.891028831916055
"Factor8",1.29923575979095,0.0239899901032244,1.03508197280182,1.63080181461411,0.119949950516122
"Factor9",1.00023913964788,0.998822467506259,0.728102955044028,1.37408910313107,0.998822467506259
"Factor10",1.30129504665921,0.0651628338074512,0.983595232179653,1.72161143431661,0.23089782760597
"Factor11",0.822572027571911,0.124200027096336,0.641256184895551,1.05515511036198,0.280284941090808
"Factor12",1.00888162939388,0.951664281590238,0.758005336862892,1.34279020559529,0.998822467506259
"Factor13",1.30076291041261,0.0769659425353234,0.971944348252106,1.74082410391898,0.23089782760597
"Factor14",1.44299111233583,0.0165078991281036,1.06921361177537,1.94743438294128,0.119949950516122
"Factor15",0.896644561306798,0.313255635827763,0.725325084744634,1.10842915298333,0.522092726379605
